_id,location_dir_id,location_name,direction,linear_name_full,side_street,longitude,latitude,centreline_id,bin_size,latest_calibration_study,first_active,last_active,date_decommissioned,technology,avg_daily_ridership,peak_ridership
28,28,"Yonge St, north of Davenport Rd",Northbound,Yonge St,Davenport Rd,-79.3880628,43.6734429,8680067,00:15:00,2025-07-23,2024-01-15,2026-04-14,,Induction - Eco-Counter,682.140456182473,1297
29,29,"Yonge St, north of Davenport Rd",Southbound,Yonge St,Davenport Rd,-79.3880628,43.6734429,8680067,00:15:00,2025-07-23,2022-11-14,2026-04-14,,Induction - Eco-Counter,756.1359300476947,1818
30,30,"Yonge St, north of Macpherson Ave",Northbound,Yonge St,Macpherson Ave,-79.3905663,43.6795414,1140465,00:15:00,2025-07-23,2022-11-14,2026-04-14,,Induction - Eco-Counter,540.5062923523717,1351
31,31,"Yonge St, north of Macpherson Ave",Southbound,Yonge St,Macpherson Ave,-79.3905663,43.6795414,1140465,00:15:00,2025-07-23,2024-06-23,2026-04-14,,Induction - Eco-Counter,789.6607142857143,1619
32,32,"Yonge St, north of St Clair Ave",Northbound,Yonge St,St Clair Ave,-79.3944265,43.6888532,7262532,00:15:00,2025-07-23,2022-11-14,2026-04-14,,Induction - Eco-Counter,412.43650793650795,1079
33,33,"Yonge St, north of St Clair Ave",Southbound,Yonge St,St Clair Ave,-79.3944265,43.6888532,7262532,00:15:00,2025-07-23,2022-11-14,2026-04-14,,Induction - Eco-Counter,567.1771247021445,1306
34,34,"Yonge St, south of Davisville Ave",Northbound,Yonge St,Davisville Ave,-79.3965356,43.697978,7273833,00:15:00,2025-07-23,2022-11-14,2026-04-14,,Induction - Eco-Counter,336.2,1380
35,35,"Yonge St, south of Davisville Ave",Southbound,Yonge St,Davisville Ave,-79.3965356,43.697978,7273833,00:15:00,2025-07-23,2022-11-23,2026-04-14,,Induction - Eco-Counter,353.49915966386556,873
36,36,"Keele St, north of Four Winds Dr (multi-use path)",Northbound,Keele St,Four Winds Dr,-79.49192,43.766102,439433,00:15:00,2023-10-18,2022-06-07,2026-04-14,,Induction - Eco-Counter,33.56155015197568,123
37,37,"Keele St, north of Four Winds Dr (multi-use path)",Southbound,Keele St,Four Winds Dr,-79.49192,43.766102,439433,00:15:00,2023-10-18,2022-06-07,2026-04-14,,Induction - Eco-Counter,37.52994692949204,124
38,38,"Murray Ross Pkwy, north of Shoreham Dr (multi-use path)",Northbound,Murray Ross Pkwy,Shoreham Dr,-79.5145151,43.773275,30091481,00:15:00,2023-10-18,2022-05-31,2026-04-14,,Induction - Eco-Counter,16.277432712215322,50
39,39,"Murray Ross Pkwy, north of Shoreham Dr (multi-use path)",Southbound,Murray Ross Pkwy,Shoreham Dr,-79.5145151,43.773275,30091481,00:15:00,2023-10-18,2022-05-31,2026-04-14,,Induction - Eco-Counter,14.20954356846473,43
40,603,"Millwood Rd, north of Pape Ave/Donlands Ave",Northbound,Millwood Rd,Donlands Ave,-79.348918,43.697263,7466899,00:15:00,,2025-01-01,2025-07-09,,Induction - Eco-Counter,29.733333333333334,156
41,604,"Millwood Rd, north of Pape Ave/Donlands Ave",Southbound,Millwood Rd,Pape Ave,-79.34953,43.696995,3232748,00:15:00,,2025-01-01,2025-07-09,,Induction - Eco-Counter,123.61666666666666,825
42,746,"Bloor St E, west of Castle Frank Rd",Eastbound,Bloor St E,Castle Frank Rd,-79.3681194,43.6738047,8540609,00:15:00,2025-07-23,2025-03-18,2026-04-13,,Induction - Eco-Counter,1193.762254901961,2637
43,747,"Bloor St E, west of Castle Frank Rd",Westbound,Bloor St E,Castle Frank Rd,-79.3681194,43.6738047,8540609,00:15:00,2025-07-23,2025-03-18,2026-04-13,,Induction - Eco-Counter,1188.5098039215686,2519
